memberName;firstName;lastName;dayOfBirth;monthOfBirth;yearOfBirth;gender;under18;over60;isMotionist;isActive;restance;price
1;John;Doe;15;6;1985;Male;false;false;false;true;true;100
2;Jane;Smith;20;7;1990;Female;false;false;true;true;false;150
3;Mike;Johnson;5;3;1975;Male;false;false;false;true;true;200
4;Emily;Davis;30;12;2002;Female;true;false;true;true;false;80
5;Chris;Brown;11;11;1960;Male;false;true;false;false;true;90
6;Anna;Miller;8;8;1998;Female;false;false;true;true;true;120
7;James;Wilson;22;1;1988;Male;false;false;false;false;true;110
8;Sarah;Moore;16;5;1972;Female;false;false;true;true;false;130
9;David;Taylor;2;2;2000;Male;true;false;false;false;true;140
10;Laura;Anderson;25;9;1995;Female;false;false;true;true;true;160
11;Lasse,Henriksson;25;12;1995;Male:false;false;true;true;true;1600
